"Feature","Gain","Cover","Frequency"
"batter_platoon_effect",0.0572701223285198,0.0382372675322818,0.0323437122857832
"pitcher_platoon_effect",0.0471979083417245,0.0290882438818012,0.025162925416365
"log5_base",0.0371146345712876,0.0249665413332221,0.0299903451605117
"k_rate_diff",0.0321893217770346,0.0305331339121315,0.0313178855901521
"ff_matchup_runs",0.0285447838951704,0.0320329640863073,0.0320419985517741
"ff_matchup_hard_hit",0.0282438471029465,0.0394318879268736,0.0269128650736182
"bb_rate_diff",0.0279642741790158,0.0202508655158236,0.0301713734009172
"hard_hit_vs_k_diff",0.0258139039431944,0.0324074151317789,0.026611151339609
"si_matchup_runs",0.0250715774535776,0.0310508345300592,0.0278783490224475
"ch_matchup_runs",0.0247773130272378,0.0216335456652703,0.0273956070480328
"sl_matchup_runs",0.0245463745894782,0.0284351593085408,0.0229905865314989
"fc_matchup_runs",0.0235192328860877,0.0255797019407814,0.0217233888486604
"zone_contact_rate_b",0.0226524719297324,0.0210382614602637,0.0256456673907796
"ff_matchup_barrel",0.0221837640113756,0.0203048522515329,0.0241974414675356
"ch_matchup_barrel",0.0216762774291066,0.023958669757298,0.0218440743422641
"hard_hit_rate_b",0.0205742739226347,0.0197906077380988,0.0226888727974897
"barrel_rate_b",0.0204428299014865,0.0175540314267157,0.0239560704803283
"cu_matchup_runs",0.0202008435808568,0.019109278448805,0.0203355056722182
"chase_rate_b",0.0197943925651076,0.0218009879691811,0.0191286507361815
"ch_matchup_whiff",0.0194139903546962,0.0168138291850148,0.0215423606082549
"ff_matchup_whiff",0.0192135337596558,0.0209350550295259,0.0241370987207338
"ff_spin_advantage",0.0189529822354959,0.0205420125253994,0.02039584841902
"ff_pct_p",0.0182021288431038,0.0167791489640625,0.0152063721940623
"si_matchup_whiff",0.0176460375265924,0.0138887730233168,0.0190079652425778
"ch_matchup_hard_hit",0.0174539908100743,0.0188596046931515,0.0209389331402365
"exit_velo_vs_chase",0.0162814871332736,0.0114392291695219,0.0199734491914072
"ff_velo_advantage",0.0158699961407967,0.0141212854325196,0.0152667149408641
"si_matchup_barrel",0.0158094717921725,0.0159329992432323,0.0200941346850109
"si_matchup_hard_hit",0.0153837415266034,0.0183454793557345,0.0191286507361815
"sl_matchup_barrel",0.0149840848596462,0.0164010034620633,0.0165942553705045
"cu_matchup_hard_hit",0.0146492774800202,0.0164829965617719,0.0169563118513155
"sl_matchup_hard_hit",0.0142364139318977,0.011263921248488,0.0146029447260439
"cu_spin_advantage",0.0131588238664143,0.0134133798914306,0.0144822592324403
"cu_matchup_barrel",0.0126490791127543,0.0138682747483896,0.0132754042964036
"cu_matchup_whiff",0.0124568995042878,0.0117009397028942,0.0131547188027999
"sl_velo_advantage",0.0121402913794686,0.0104879662016816,0.0123099203475742
"ch_pct_p",0.0120368488819141,0.0118447851554353,0.0138184890176201
"fc_matchup_whiff",0.0115929987000149,0.010224348852037,0.0136978035240164
"kc_matchup_runs",0.0115178542536106,0.0151854080884763,0.00814627081824765
"si_velo_advantage",0.0111865566098443,0.0135562719358356,0.0127926623219889
"st_matchup_runs",0.0107862533343025,0.0158931944535482,0.00971518223509534
"sl_matchup_whiff",0.00997893673155847,0.0131003044947235,0.0140598600048274
"cu_velo_advantage",0.0098689617021849,0.01123186289991,0.0117064928795559
"sl_pct_p",0.00954705376712714,0.00884095364648818,0.00941346850108617
"fc_matchup_barrel",0.00937595141670698,0.00886264368158552,0.010922037171132
"sl_spin_advantage",0.00922526781497719,0.00673880788230177,0.0110427226647357
"fc_matchup_hard_hit",0.00915511276702165,0.0067676484784202,0.011284093651943
"si_pct_p",0.00884892674283806,0.00561009182512111,0.00814627081824765
"cu_pct_p",0.0086552109431179,0.00606737020242046,0.00923244026068067
"kc_matchup_hard_hit",0.00736893291564427,0.0107590916403983,0.00627564566739078
"st_matchup_hard_hit",0.00733238515052154,0.00816331881372193,0.00657735940139995
"st_matchup_barrel",0.0073294173956303,0.00748699491714287,0.00585324643977794
"kc_matchup_whiff",0.00692374935147226,0.0125082380421764,0.00657735940139995
"fs_matchup_runs",0.00678015563435986,0.0142756183745583,0.00627564566739078
"fc_pct_p",0.00675231625877767,0.00718059337738873,0.00681873038860729
"fs_matchup_whiff",0.00583227009392473,0.0123224426316448,0.00506879073135409
"st_matchup_whiff",0.00442505345133893,0.00954349626681127,0.00500844798455226
"kc_matchup_barrel",0.0038804942303377,0.00929203487090258,0.00428433502293024
"st_pct_p",0.00362161377284169,0.00186581972243906,0.00331885107410089
"kc_pct_p",0.00274369782667299,0.00495986747626908,0.00259473811247888
"fs_matchup_hard_hit",0.00266845271957648,0.0025128263188316,0.00253439536567705
"fs_matchup_barrel",0.00201519222365062,0.00358850904843909,0.00205165339126237
"fs_pct_p",0.0012196375500662,0.00265595671527062,0.00187062515085687
"same_hand",0.00105032006743736,0.000481351932737056,0.00150856867004586
