"max_depth","eta","min_child_weight","subsample","colsample_bytree","correlation"
6,0.1,1,0.9,0.9,0.387016515398832
6,0.1,1,0.9,0.8,0.385470531366871
6,0.1,3,0.9,0.9,0.38531525438856
6,0.1,1,0.8,0.9,0.384870172296627
6,0.1,3,0.9,0.8,0.382988725363488
6,0.1,5,0.7,0.9,0.382868984716994
6,0.1,1,0.7,0.8,0.38223992228979
6,0.1,1,0.8,0.8,0.381678005976563
6,0.1,3,0.9,0.7,0.381551035361323
6,0.1,1,0.8,0.7,0.381410920410633
6,0.1,3,0.7,0.9,0.381189376293552
6,0.1,5,0.8,0.9,0.381014060088558
6,0.1,1,0.7,0.9,0.380106190354265
6,0.1,3,0.7,0.8,0.379892065642113
6,0.1,3,0.8,0.9,0.379663225014415
6,0.1,5,0.9,0.9,0.378148989772633
6,0.1,1,0.9,0.7,0.377202644911134
6,0.1,3,0.8,0.7,0.377083474914297
6,0.1,5,0.8,0.8,0.376582271297182
6,0.1,5,0.7,0.8,0.376546948805957
6,0.1,3,0.8,0.8,0.376278755512651
6,0.1,5,0.8,0.7,0.37552038078739
6,0.1,1,0.7,0.7,0.375436396893591
6,0.1,5,0.9,0.7,0.37504922972475
6,0.1,5,0.9,0.8,0.373574008581831
6,0.1,3,0.7,0.7,0.372218635146397
6,0.1,5,0.7,0.7,0.372157286956773
6,0.05,1,0.9,0.9,0.347987560900281
6,0.05,1,0.8,0.9,0.347965513004726
6,0.05,1,0.8,0.8,0.347236581600524
6,0.05,1,0.7,0.9,0.347051493761909
6,0.05,3,0.8,0.7,0.346916322271628
6,0.05,3,0.7,0.9,0.346385035535717
6,0.05,1,0.7,0.8,0.346277850636216
5,0.1,1,0.8,0.9,0.345740004493152
6,0.05,3,0.8,0.9,0.345378440674564
6,0.05,1,0.7,0.7,0.345071844675711
6,0.05,1,0.8,0.7,0.344967307213055
6,0.05,3,0.8,0.8,0.34469305623827
6,0.05,3,0.9,0.9,0.344688065858102
5,0.1,1,0.9,0.9,0.344370717504432
6,0.05,3,0.7,0.7,0.3442783234179
5,0.1,3,0.9,0.8,0.344257780553827
6,0.05,1,0.9,0.8,0.344003384498324
6,0.05,5,0.8,0.8,0.343689018068194
5,0.1,5,0.8,0.9,0.343649393958998
6,0.05,3,0.9,0.8,0.343332963998586
6,0.05,3,0.9,0.7,0.343168863400622
5,0.1,3,0.8,0.9,0.343085466540297
6,0.05,5,0.8,0.7,0.34293044231208
6,0.05,3,0.7,0.8,0.342848053013995
6,0.05,1,0.9,0.7,0.342283637841656
6,0.05,5,0.8,0.9,0.342001277463879
5,0.1,5,0.9,0.9,0.341873034185615
6,0.05,5,0.7,0.9,0.341842071117449
6,0.05,5,0.9,0.8,0.341833156569269
5,0.1,1,0.8,0.8,0.341781021968101
6,0.05,5,0.7,0.7,0.341420846201634
6,0.05,5,0.7,0.8,0.341370657533017
5,0.1,1,0.8,0.7,0.34131996539887
5,0.1,3,0.7,0.9,0.341318115647481
5,0.1,1,0.7,0.8,0.341302194022998
5,0.1,5,0.8,0.8,0.340945151540908
5,0.1,1,0.9,0.7,0.340810646293678
5,0.1,1,0.7,0.9,0.340713493217893
6,0.05,5,0.9,0.9,0.340668861362436
5,0.1,5,0.7,0.9,0.340605344953055
5,0.1,3,0.9,0.9,0.340582579031435
5,0.1,1,0.7,0.7,0.340527278873838
5,0.1,5,0.9,0.7,0.340479932291707
5,0.1,3,0.7,0.8,0.340252447202702
5,0.1,3,0.8,0.7,0.339851061582733
5,0.1,3,0.9,0.7,0.339815376717518
5,0.1,1,0.9,0.8,0.339787875241904
5,0.1,3,0.8,0.8,0.3397179438243
5,0.1,5,0.9,0.8,0.339397716973396
5,0.1,3,0.7,0.7,0.339133706505753
5,0.1,5,0.8,0.7,0.338105573744571
6,0.05,5,0.9,0.7,0.337744818362183
5,0.1,5,0.7,0.7,0.337614583133434
5,0.1,5,0.7,0.8,0.33581963754379
6,0.03,1,0.9,0.7,0.325000814966426
6,0.03,1,0.8,0.9,0.324678204545733
